中文片名,外文片名,ID
涅槃咒,Hanh Phúc Máu,tt23747380
靈魂伴侶,Soulmate,tt13086130
小淘氣尼古拉：快樂的源頭,Little Nicholas - Happy as Can Be,tt10290244
人肉搜索2：失蹤搜救,Missing,tt10855768
屍智症,The Elderly,tt13968380
假面騎士劇場版 Battle Royale,Kamen Rider Geats × Revice: Movie Battle Royale,tt21417736
百花,A Hundred Flowers,tt18395238
再一次勇敢跳躍,Rise,tt13531468
我的鯨魚老爸,The Whale,tt13833688
詐團圓,Scamsgiving,tt24330660
巴比倫,Babylon,tt10640346
惡靈地堡,The Bunker Game,tt13893190
正年輕,Forever Young,tt14976386
厄林,Sore ga Iru Mori,tt21288116
熊男,Bear Man,tt26599543
敲敲門,Knock at the Cabin,tt15679400
血忌,Blood Flower,tt22205036
桃子樹的最後豐收,Alcarràs,tt11930126
唐璜羅曼死,Don Juan,tt14590650
新世紀福音戰士新劇場版：終,Evangelion: 3.0+1.01 Thrice Upon a Time,tt2458948
萬惡世代,The Generation of Evil,tt13419036
販愛天堂,Mascarade,tt14534796
超完美狗保姆,Meongmongi,tt24218390
「鬼滅之刃」上弦集結，前進刀匠村,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,tt26537229
幻影,Phantom,tt25503544
十三門徒,Apostles,tt20603604
屍房菜,Bodyshop,tt20603692
無人相信的真相, La syndicaliste,tt16987062
戰爭開打之際,Father & Soldier,tt14860210
杏仁與海馬,The Almond and the Seahorse,tt7326608
闇黑對決,The Devil's Deal,tt15089904
追海豚的長崎夏日,Sabakan,tt21819780
聖蛛,Holy Spider,tt18550140
若愛重來,Per tutta la vita,tt12989910
天生一對2 大電影：再續前緣,Love Destiny: The Movie,tt13446128
尋找第5味,Umami,tt6993614
屍蹤天使,Mindcage,tt14147224
維特:音樂劇,Roald Dahl's Matilda the Musical,tt3447590
火線埋伏,Ambush,tt8270664
所有的美麗與血淚,All the Beauty and the Bloodshed,tt21374850
WINNER 2022 CONCERT THE CIRCLE : THE MOVIE,WINNER 2022 CONCERT THE CIRCLE : THE MOVIE,tt26569437
蓋世棋蹟,Chess Story,tt12058584
盲柳與沉睡的女人,"Blind Willow, Sleeping Woman",tt9320184
不離職冒險王,Irréductible,tt13639204
僕愛君愛：致我深愛的每個妳,To Every You I've Loved Before,tt15439344
僕愛君愛：致深愛妳的那個我,To the Solitary Me Who Loved You,tt15450826
回到首爾,Return to Seoul,tt19719836
巫母,Nocebo,tt11212572
殺手迴戰,Assassin Club,tt7720142
束縛,Corsage,tt11992694
淘氣小企鵝啵樂樂 電影版：巨龍城堡大冒險,Pororo Popstar Adventure,tt30422251
開羅謀殺案,Cairo Conspiracy,tt15452062
愛情失格,Achira ni iru oni,tt22467872
俠探特攻：驚爆獨立日,Detective Knight: Independence,tt22394702
鬼臥床,Bed Rest,tt4896168
珍愛熱線,Call Jane,tt7461272
火線交涉,Gyoseob,tt21111120
迫降危機,Plane,tt5884796
玩命特攻：武演行動,Operation Fortune: Ruse de Guerre,tt7985704
巫師靈不靈！？,Daemuga: Hangwa Heung,tt14540374
BTS: YET TO COME IN CINEMAS,BTS: YET TO COME IN CINEMAS,tt24807190
天間莊三姊妹,Three Sisters of Tenmasou,tt20252472
大明星多重宇宙,Switch,tt24076346
拼音戀習曲,A E I O U: A Quick Alphabet of Love,tt17154094
驚獄77,Modelo 77,tt15128358
紳探追緝令,Gentleman,tt24670346
沒有你的旅程,Hannes,tt9256012
唱出戀愛的苦惱,Sing in Love,tt30750832
迴咒師ー塩子的誕生,The Divine Protector: Master Salt Begins,tt22746706
青凪大學體育會航空部劇場版,Blue Thermal,tt15304756
Ｎ号棟鬧鬼,Bldg. N,tt17510216
童話．世界,Tóng huà shì jiè,tt21968992
如果30歲還是處男，似乎就能成為魔法師【後篇】,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,tt13243836
音速小子 2,Sonic the Hedgehog 2,tt12412888
少年吔,Siàu lian ê,tt22506546
愛國女子─紅武士道,The Cherry Bushido,tt18363692
《少女與戰車 最終章》 第3話,Girls und Panzer das Finale: Part III,tt12286898
蠟筆小新：謎案！天下春日部學院的怪奇事件,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkasu Academy,tt13642590
GIVEN~被贈與的未來 劇場版：反面的存在,Given,tt11802992
相信黎明的到來,Twiceborn,tt13236202
BanG Dream! Episode of Roselia Ⅱ  Song I am,BanG Dream! Episode of Roselia Ⅱ  Song I am,tt14147078
怪物奇兵 全新世代,Space Jam: A New Legacy,tt3554046
劇場編輯版 隱瞞之事 秘密之事是什麼？,Gekijou Henshuuban Kakushigoto: Himegoto wa Nandesuka,tt14402928
只有蕓知道,Only Cloud Knows,tt10564446
蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,tt12850062
華氏11/9,Fahrenheit 11/9,tt8632862
